DATE,Alipay+ Txn Count,Alipay+ Amount,NPCI Txn Count,NPCI Amount,Domestic QR Txn Count,Domestic QR Amount,P2P Txn Count,P2P Sum Amount
"August 26, 2026",26,76795.00,443,356763.20,61086,65945774.40,401,662576.00
"August 27, 2026",613,2780909.49,5134,6272280.21,332802,717683223.82,1755,6758825.00
"August 28, 2026",705,3970783.00,4118,7296635.00,201809,541009611.00,522,3826807.00
"August 29, 2026",490,2238592.00,3018,6634363.00,91257,265983645.00,271,2213451.00
"August 30, 2026",315,2347973.04,2329,6373645.43,57449,176763149.84,138,1052768.00
"August 31, 2026",242,1666156.00,1837,5959985.00,36416,136679650.00,83,1000000.00
Sub Total,2391,13081208.53,16879,32893671.84,780819,1904065054.06,3170,15514427.00
Total Collected,803259,1965554361.43,,,,,,
